Address,Postal Code,County,Price,NotMP,VATEx
"1 The Sycamore, Elmfield, Ballyogan Dublin 18",Dublin 18,Dublin,370270,No,No
"10 Alexandra Quay, York Rd, Ringsend Dublin 4",Dublin 4,Dublin,265000,No,No
"106 Clonard Court, Balbriggan, Dublin",,Dublin,176000,No,No
"11B Rear Cadogan Road, Fariview, Dublin",,Dublin,370044,No,Yes
"12 Hibernian, The Gas Works, Barrow St Dublin 4",Dublin 4,Dublin,403000,No,No
"135 Rathmines Town Centre, Rathmines Rd Lower, Rathmines Dublin 6",Dublin 6,Dublin,390000,No,No
"16 Beechwood Ave Lower, Ranelagh, Dublin 6",Dublin 6,Dublin,1125000,No,No
"16 Brackenstown Village, Swords, Dublin",,Dublin,330000,No,No
"16 Neilstown Dr, Neilstown, Clondalkin Dublin 22",Dublin 22,Dublin,205000,No,No
"165 Edenmore Crescent, Raheny, Dublin 5",Dublin 5,Dublin,325000,No,No
"18 Allen Hall, Belgard Sq, Tallaght",Dublin 24,Dublin,227000,No,No
"18 Carriglea Gardens, Kill Ave, Dun Laoghaire",,Dublin,426000,No,No
"190 Ardilaun, Portmarnock, Dublin",Dublin 13,Dublin,485000,No,No
"20 Botanic Rd, Glasnevin, Dublin 9",Dublin 9,Dublin,400000,No,No
"224 Moyville Estate, Ballyboden Road, Rathfarnham",Dublin 16,Dublin,415000,No,No
"23 Beechwood Downs, Hartstown Clonsilla, Dublin 15",Dublin 15,Dublin,290000,No,No
"23 Marino Park, Dublin 3, Dublin",Dublin 3,Dublin,400000,No,No
"235 Clontarf Rd, Clontarf, Dublin 3",Dublin 3,Dublin,676000,No,No
"25 Coolamber Court, Knocklyon, Dublin 16",Dublin 16,Dublin,390000,Yes,No
"251 Kimmage Rd Lower, Dublin 6W, Dublin",,Dublin,888000,No,No
"27 The Orchard, Killester Dublin 5, Dublin",Dublin 5,Dublin,380000,No,No
"29 Rathborne Square, Rathborne, Ashtown",Dublin 15,Dublin,343612,No,Yes
"3 Airfield Park, Donnybrook, Dublin 4",Dublin 4,Dublin,1625000,No,No
"3 Fairview Ave, Irishtown, Dublin 4",Dublin 4,Dublin,435000,No,No
"303 Palmerstown Woods, Palmerstown, Dublin 22",Dublin 22,Dublin,306000,No,No
"34 Oxford Rd, Ranelagh, Dublin 6",Dublin 6,Dublin,800000,No,No
"34 Rathborne Walk, Royal Canal Park, Ratoath",Dublin 15,Dublin,339207,No,Yes
"35 River Valley Dr, Swords, Dublin",,Dublin,355000,No,No
"35 Southmede, Ballinteer Rd, Dundrum Dublin 16",Dublin 16,Dublin,440000,No,No
"39 Claddagh Rd, Ballyfermot, Dublin 10",Dublin 10,Dublin,70000,No,No
"43 John Mccormack Ave, Walkinstown, Dublin 12",Dublin 12,Dublin,365000,No,No
"46 Charnwood Grove, Clonsilla, Dublin 15",Dublin 15,Dublin,335000,No,No
"46 Palmerstown Park, Palmerstown, Dublin 20",Dublin 20,Dublin,380000,No,No
"5 Bessborough Parade, Rathmines, Dublin",Dublin 6,Dublin,803500,No,No
"50  Larkfield Heath, Clay Farm, Leopardstown",,Dublin,502203,No,Yes
"59 Adamstown Park, St. Helens, Adamstown",,Dublin,310573,No,Yes
"6 Greenlands, Sunbury Court, Dartry Rd Dublin 6",Dublin 6,Dublin,465000,No,No
"64 Hunters Walk, Ballycullen, Dublin 24",Dublin 24,Dublin,330000,No,No
"7 Melville Close, Cityside, Finglas",Dublin 11,Dublin,280000,No,No
"8 Elder Heath Walk, Kiltipper Road, Dublin 24",Dublin 24,Dublin,255506,No,Yes
"Apartment 1, Block 1 St James Place, Inchicore",,Dublin,140000,No,No
"Apartment 2, Block 1 St James Place, Inchicore",,Dublin,140000,No,No
"Apartment 4, Block 1 St James Place, Inchicore",,Dublin,140000,No,No
"Apartment 5, Block 1 St James Place, Inchicore",,Dublin,140000,No,No
"Apartment 7, Block 1 St James Place, Inchicore",,Dublin,140000,No,No
"Jasmine Lodge, Doonsalla Drive, Dun Laoghaire",,Dublin,610000,No,No
"Peat House, Oxmantown Road, Stoneybatter",Dublin 7,Dublin,160416,No,Yes
"The Peat House, Oxmantown Road, Stoneybatter",Dublin 7,Dublin,160416,No,Yes
"1 Kilcolman Court, Glenageary Rd Upper, Glenageary",,Dublin,475000,No,No
"10 Somerton Park, Newcastle Road, Lucan",,Dublin,409691,No,Yes
